測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
688381.SH,著兜峚,2023-05-11,35.22,35.75,34.72,34.98,1114678,
688381.SH,著兜峚,2023-05-12,34.87,35.9,34.87,34.9,1127472,
688381.SH,著兜峚,2023-05-15,34.78,34.85,34.09,34.81,777673,
688381.SH,著兜峚,2023-05-16,35.19,35.87,34.6,35.43,1564051,
688381.SH,著兜峚,2023-05-17,35.12,36.28,35.12,35.79,1041818,
688381.SH,著兜峚,2023-05-18,35.9,36.46,35.6,36.3,920396,
688381.SH,著兜峚,2023-05-19,36.44,37.5,36.3,37.26,1215709,
688381.SH,著兜峚,2023-05-22,37.26,37.59,36.42,36.61,1096305,
688381.SH,著兜峚,2023-05-23,36.38,37.16,36,36.17,1051293,
688381.SH,著兜峚,2023-05-24,35.9,37.52,35.9,36.65,997333,
688381.SH,著兜峚,2023-05-25,36.65,37.38,35.8,36.62,1016279,
688381.SH,著兜峚,2023-05-26,36.97,37.15,36.36,36.53,880266,
688381.SH,著兜峚,2023-05-29,36.97,37.38,36.41,37.06,1057922,
688381.SH,著兜峚,2023-05-30,37.48,37.7,36.68,37.23,1337309,
688381.SH,著兜峚,2023-05-31,36.81,37.6,36.41,36.68,1407087,
688381.SH,著兜峚,2023-06-01,36.6196,36.68,35.4312,35.8038,1599480,
688381.SH,著兜峚,2023-06-02,35.834,38.1605,35.834,37.5965,3189471,
688381.SH,著兜峚,2023-06-05,37.6368,38.0396,36.8109,36.9721,1605787,
688381.SH,著兜峚,2023-06-06,36.9116,36.9116,34.4341,34.5549,2373939,
688381.SH,著兜峚,2023-06-07,35.1492,35.9347,34.7463,35.2902,1993563,
688381.SH,著兜峚,2023-06-08,35.3506,35.3506,34.1823,34.2125,1491439,
688381.SH,著兜峚,2023-06-09,34.2729,35.6326,33.86,35.0988,2489985,
688381.SH,著兜峚,2023-06-12,35.2297,35.4513,34.1017,34.1622,1908225,
688381.SH,著兜峚,2023-06-13,34.142,34.142,32.6313,33.9003,3095107,
688381.SH,著兜峚,2023-06-14,33.86,34.988,33.2859,34.5247,2377650,
688381.SH,著兜峚,2023-06-15,34.5449,35.0283,34.142,34.5852,1451055,
688381.SH,著兜峚,2023-06-16,35.0384,35.1995,34.0614,34.9779,1461895,
688381.SH,著兜峚,2023-06-19,34.7463,36.0757,34.6053,35.6527,1530334,
688381.SH,著兜峚,2023-06-20,35.3607,36.1966,35.0988,36.0153,1887888,
688381.SH,著兜峚,2023-06-21,35.9146,35.9246,34.2528,34.3837,1998017,
688381.SH,著兜峚,2023-06-26,34.1017,34.3837,32.2284,32.5104,2492386,
688381.SH,著兜峚,2023-06-27,32.732,33.0543,32.3896,32.7824,774964,
